14140	06	10	11	14	17	33	06	 	355,086,600	5	9,914,504	102	178,584	369,928,040	2014-12-02
14139	01	14	15	20	25	29	11	 	340,012,160	10	8,062,601	102	252,769	416,872,552	2014-11-30
14138	04	06	13	29	31	33	13	 	333,290,635	5	11,482,317	126	222,337	379,450,576	2014-11-27
14137	03	06	09	11	25	29	09	 	296,658,774	27	5,906,822	223	53,162	377,779,080	2014-11-25
14136	03	16	19	27	31	32	10	 	405,577,188	1	15,000,000	112	247,269	419,949,224	2014-11-23
14135	02	04	11	13	25	33	01	 	332,494,676	4	12,500,000	210	147,183	380,304,722	2014-11-20
14134	05	16	22	23	26	28	02	 	279,769,385	7	10,031,378	124	254,230	374,813,426	2014-11-18
14133	13	14	16	23	30	31	13	 	245,415,332	4	12,006,712	125	180,268	417,287,252	2014-11-16
14132	05	06	14	15	18	33	08	 	215,841,500	5	9,132,195	81	164,521	372,487,192	2014-11-13
14131	05	17	21	22	28	32	14	 	211,523,816	7	10,041,712	211	149,834	396,591,384	2014-11-11
14130	01	02	10	24	30	33	10	 	176,970,840	3	13,333,333	77	344,673	402,591,108	2014-11-09
14129	05	08	09	20	28	32	02	 	127,351,182	7	6,428,571	207	120,794	359,082,268	2014-11-06
14128	05	07	08	17	18	24	14	 	87,337,680	10	6,000,000	180	122,362	358,520,804	2014-11-04
14127	02	10	12	21	23	27	12	 	71,262,030	15	5,666,666	189	94,735	405,427,926	2014-11-02
14126	06	11	16	17	22	27	01	 	92,547,000	28	6,067,086	425	58,466	374,635,140	2014-10-30
14125	10	11	15	26	31	32	06	 	177,881,270	5	10,893,985	84	289,731	369,171,242	2014-10-28
14124	02	17	20	24	31	33	04	 	149,338,971	3	8,333,333	72	452,439	414,603,564	2014-10-26
14123	01	06	11	17	28	33	05	 	66,611,994	31	5,504,877	447	43,767	374,248,054	2014-10-23
14122	06	09	11	16	20	29	11	 	178,571,232	16	5,951,266	156	121,957	372,450,634	2014-10-21
14121	01	02	13	22	28	30	09	 	216,715,500	15	6,326,521	265	93,857	414,246,034	2014-10-19
14120	01	07	12	16	23	28	04	 	236,996,485	23	5,924,705	375	70,894	380,941,988	2014-10-16
14119	06	13	17	20	26	29	09	 	293,508,896	16	5,570,537	138	82,686	374,297,910	2014-10-14
14118	05	07	15	18	26	30	03	 	348,405,240	15	6,427,135	328	81,581	412,610,364	2014-10-12
14117	05	10	17	25	28	29	04	 	364,535,919	9	7,417,293	316	86,058	376,251,864	2014-10-09
14116	09	10	14	15	19	29	16	 	349,707,904	8	7,738,382	178	153,841	355,472,106	2014-10-07
14115	01	09	10	11	13	32	03	 	329,463,486	107	5,206,826	176	157,176	393,986,920	2014-10-05
14114	02	07	23	30	32	33	10	 	803,604,936	4	7,655,494	64	207,460	336,622,164	2014-10-02
14113	12	14	28	31	32	33	07	 	794,394,502	2	10,000,000	61	329,010	376,332,046	2014-09-30
14112	01	15	16	21	24	30	03	 	754,185,552	16	5,556,035	150	74,138	438,774,340	2014-09-28
14111	02	08	17	20	22	28	02	 	809,720,000	5	10,000,000	86	386,831	391,471,380	2014-09-25
14110	01	08	11	13	19	30	06	 	759,917,456	4	9,300,795	143	150,377	384,948,858	2014-09-23
14109	02	05	11	15	19	28	02	 	732,608,704	16	6,744,502	304	114,769	437,600,916	2014-09-21
14108	03	08	09	20	23	28	02	 	735,850,612	14	6,392,168	357	68,243	393,047,674	2014-09-18
14107	11	14	17	22	25	27	16	 	752,252,140	5	9,244,289	117	226,724	387,176,276	2014-09-16
14106	09	14	17	18	21	25	15	 	718,893,160	4	10,000,000	124	257,862	422,052,940	2014-09-14
14105	14	16	17	19	27	32	04	 	662,968,446	6	9,151,943	67	464,769	379,715,550	2014-09-11
14104	02	06	12	19	27	28	13	 	624,461,375	5	9,351,116	372	73,103	358,170,510	2014-09-09
14103	03	08	09	10	18	33	04	 	589,633,520	8	7,120,349	179	118,455	396,768,732	2014-09-07
14102	14	16	21	24	28	31	13	 	582,985,842	3	10,000,000	80	346,223	368,749,750	2014-09-04
14101	16	18	20	23	24	32	07	 	529,892,270	2	10,000,000	61	420,623	359,712,392	2014-09-02
14100	01	06	09	10	14	16	11	 	472,918,194	3	10,000,000	90	260,404	401,949,134	2014-08-31
14099	01	05	10	11	13	32	14	 	432,609,020	4	10,000,000	47	565,778	358,086,522	2014-08-28
14098	02	13	17	20	29	31	07	 	392,834,215	5	8,502,424	77	284,287	353,151,800	2014-08-26
14097	07	13	24	25	27	32	15	 	369,675,882	3	10,000,000	148	196,578	390,727,104	2014-08-24
14096	12	14	17	19	22	24	08	 	312,395,240	4	9,824,585	86	280,499	357,432,576	2014-08-21
14095	05	06	08	14	22	31	08	 	279,324,805	5	7,265,534	134	105,668	348,187,212	2014-08-19
14094	01	10	18	20	23	29	01	 	273,173,708	2	10,000,000	79	363,453	394,513,356	2014-08-17
14093	02	08	09	10	20	29	05	 	207,035,236	23	5,209,398	205	29,366	361,310,882	2014-08-14
14092	03	13	18	19	22	26	07	 	308,790,808	8	6,633,423	185	88,293	355,694,942	2014-08-12
14091	01	05	12	19	27	29	14	 	312,855,494	7	8,264,071	148	192,977	395,683,536	2014-08-10
14090	05	09	11	19	24	32	13	 	285,022,119	17	5,909,390	201	96,141	361,007,810	2014-08-07
14089	04	06	14	17	27	30	09	 	327,508,140	15	5,545,146	145	70,493	349,996,988	2014-08-05
14088	03	06	11	14	16	29	15	 	380,020,836	4	10,000,000	100	261,555	378,895,304	2014-08-03
14087	06	18	22	23	32	33	06	 	341,554,266	6	8,003,802	89	253,129	346,294,212	2014-07-31
14086	02	04	10	12	14	30	08	 	321,991,524	6	8,140,814	147	160,245	342,885,520	2014-07-29
14085	01	02	11	19	23	29	08	 	300,168,090	15	6,219,107	106	215,644	383,964,576	2014-07-27
14084	01	06	09	10	13	25	08	 	324,879,900	6	7,345,069	107	164,374	348,439,746	2014-07-24
14083	05	06	19	21	23	33	12	 	316,186,254	6	7,954,331	111	199,616	342,671,260	2014-07-22
14082	02	04	20	25	26	29	11	 	297,439,788	6	8,166,275	90	263,856	376,072,870	2014-07-20
14081	08	14	22	24	27	29	10	 	275,196,240	6	8,256,141	88	277,512	345,588,442	2014-07-17
14080	05	14	16	17	25	30	07	 	251,469,908	1	10,000,000	254	83,090	339,602,048	2014-07-15
14079	02	07	16	22	27	28	02	 	198,155,300	7	8,316,463	168	172,732	371,546,996	2014-07-13
14078	02	03	05	06	09	17	07	 	169,313,373	9	6,628,498	112	163,576	340,877,252	2014-07-10
14077	08	09	12	15	19	22	10	 	174,008,032	8	6,647,934	140	117,709	335,080,206	2014-07-08
14076	06	10	12	17	18	33	11	 	177,753,477	3	10,000,000	76	324,412	375,634,222	2014-07-06
14075	03	09	11	22	27	29	06	 	133,787,352	24	5,641,067	169	113,799	341,705,034	2014-07-03
14074	01	03	06	13	30	31	12	 	211,476,892	1	10,000,000	88	239,871	333,005,878	2014-07-01
14073	01	12	16	20	30	33	02	 	158,150,815	5	5,000,000	79	382,345	368,813,894	2014-06-29
14072	01	03	07	13	19	32	16	 	92,535,036	3	5,000,000	106	243,820	324,184,472	2014-06-26
14071	02	04	12	17	22	25	14	 	30,000,000	34	3,043,574	432	43,988	332,837,230	2014-06-24
14070	01	07	09	19	28	29	07	 	46,472,150	25	5,398,171	199	62,526	381,932,126	2014-06-22
14069	05	12	17	19	25	30	11	 	144,097,840	10	6,146,408	218	65,734	344,427,596	2014-06-19
14068	04	12	13	22	27	29	16	 	162,571,614	3	5,000,000	122	235,536	333,498,724	2014-06-17
14067	01	06	07	17	18	23	06	 	91,365,232	16	6,218,687	203	120,067	369,752,334	2014-06-15
14066	02	05	15	17	18	21	16	 	117,743,004	3	5,000,000	89	308,573	326,106,482	2014-06-12
14065	03	04	05	08	10	22	06	 	50,353,786	14	5,000,000	131	174,687	331,291,864	2014-06-10
14064	02	09	15	16	29	32	14	 	51,701,734	14	5,000,000	287	76,848	362,553,032	2014-06-08
14063	03	08	17	21	22	31	16	 	55,534,992	8	5,000,000	224	97,522	318,559,312	2014-06-05
14062	06	09	15	24	25	26	09	 	30,000,000	58	1,557,886	396	22,689	324,555,900	2014-06-03
