14142	07 12 19 20 21 24 26 18	129	8,830,200	0	2014-12-03
14141	04 05 12 19 22 24 29 15	115	7,829,188	0	2014-12-01
14140	10 12 19 21 24 26 28 23	140	9,182,108	0	2014-11-28
14139	02 05 10 21 23 24 25 04	110	7,519,162	0	2014-11-26
14138	06 08 15 17 18 21 22 20	107	7,714,150	0	2014-11-24
14137	02 04 05 06 07 11 12 19	47	9,246,042	0	2014-11-21
14136	02 14 16 19 25 27 29 07	132	7,569,020	0	2014-11-19
14135	05 11 16 19 20 22 23 06	116	9,660,496	0	2014-11-17
14134	05 12 18 20 21 23 30 01	129	9,213,280	2,263,424	2014-11-14
14133	03 04 09 10 12 16 22 11	76	7,387,174	0	2014-11-12
14132	03 04 06 09 12 22 30 25	86	7,816,122	0	2014-11-10
14131	06 08 10 22 23 24 26 21	119	10,762,478	0	2014-11-07
14130	03 06 10 15 17 19 25 29	95	7,079,808	1,694,077	2014-11-05
14129	02 04 06 08 09 10 11 21	50	8,041,012	0	2014-11-03
14128	02 03 08 10 24 27 28 01	102	10,727,338	0	2014-10-31
14127	05 07 10 18 19 21 27 28	107	7,482,530	1,739,051	2014-10-29
14126	02 10 11 18 19 21 25 26	106	7,841,430	0	2014-10-27
14125	01 09 20 21 22 23 29 15	125	9,444,126	0	2014-10-24
14124	01 14 21 23 24 26 28 05	137	7,717,604	0	2014-10-22
14123	06 10 11 19 23 24 28 14	121	8,037,472	0	2014-10-20
14122	01 04 06 12 17 27 29 16	96	9,622,140	0	2014-10-17
14121	02 08 10 21 22 27 29 12	119	7,854,398	0	2014-10-15
14120	02 05 16 17 19 21 25 29	105	8,032,416	0	2014-10-13
14119	01 06 07 10 15 16 20 09	75	9,505,400	0	2014-10-10
14118	07 15 18 21 25 29 30 12	145	7,670,374	0	2014-10-08
14117	05 09 11 12 14 19 28 22	98	7,431,484	0	2014-10-06
14116	01 06 08 10 19 21 27 14	92	8,255,004	0	2014-10-03
14115	06 18 19 20 25 26 27 11	141	8,038,188	0	2014-10-01
14114	02 11 16 17 21 23 29 03	119	7,887,976	1,982,185	2014-09-29
14113	08 09 11 13 17 23 29 24	110	9,255,820	0	2014-09-26
14112	02 04 08 12 15 18 27 03	86	7,597,902	0	2014-09-24
14111	03 05 08 16 21 29 30 22	112	8,055,378	0	2014-09-22
14110	04 05 11 13 18 21 23 10	95	12,720,880	0	2014-09-19
14109	01 03 08 09 15 23 28 25	87	8,433,730	3,675,607	2014-09-17
14108	01 08 13 20 25 28 29 03	124	7,659,562	1,775,613	2014-09-15
14107	03 05 07 09 15 18 25 29	82	9,107,830	0	2014-09-12
14106	12 15 16 20 22 29 30 27	144	7,469,532	0	2014-09-10
14105	01 05 11 12 20 21 22 25	92	8,701,970	0	2014-09-08
14104	05 06 09 11 12 13 19 20	75	9,115,112	2,000,659	2014-09-05
14103	06 17 19 21 22 26 28 10	139	8,720,004	0	2014-09-03
14102	01 09 14 15 16 17 18 21	90	7,776,612	1,858,975	2014-09-01
14101	03 05 09 14 15 25 29 11	100	9,166,228	0	2014-08-29
14100	02 09 11 19 20 24 25 26	110	7,602,002	0	2014-08-27
14099	04 10 11 17 23 25 30 19	120	7,855,756	0	2014-08-25
14098	01 04 11 15 16 22 28 25	97	9,274,844	0	2014-08-22
14097	02 06 08 14 19 20 26 04	95	7,445,754	0	2014-08-20
14096	08 09 16 19 20 21 23 30	116	7,818,596	0	2014-08-18
